iter	RMSE
0	931.1767053
1	903.6728214
2	875.4505273
3	848.6283439
4	823.718357
5	799.2355259
6	778.6076653
7	757.2632917
8	737.4212248
9	717.0576514
10	697.6543986
11	679.2404259
12	661.4729357
13	645.8350675
14	630.730681
15	616.7366232
16	602.8487074
17	590.3488716
18	578.6845002
19	566.4503405
20	555.0835426
21	544.0863531
22	534.662952
23	525.1094883
24	516.0190402
25	507.2621694
26	499.4420176
27	492.4166155
28	484.8339953
29	478.4142036
30	471.5815965
31	464.9535286
32	459.1979169
33	453.9777404
34	449.3017029
35	445.2596626
36	440.597541
37	436.0623802
38	432.47481
39	428.4749393
40	425.4343579
41	421.26959
42	418.343513
43	415.3222666
44	412.2002348
45	409.5080378
46	406.9510248
47	404.4472051
48	402.3683846
49	399.4777805
50	397.533823
51	395.3513126
52	393.6846917
53	391.9096137
54	389.9024417
55	387.66629
56	386.2491133
57	384.4853681
58	383.0347642
59	381.0879082
60	379.8526286
61	378.0005836
62	376.6210751
63	374.8286603
64	373.3738641
65	371.9791453
66	370.3792235
67	369.1499149
68	367.919709
69	366.5718865
70	365.7374293
71	364.6812644
72	363.840343
73	363.0647211
74	361.9527643
75	360.5329009
76	359.5631897
77	358.3220503
78	357.4110755
79	356.1534562
80	355.6135574
81	354.7243689
82	354.1036287
83	353.1563447
84	352.2394463
85	351.7195998
86	351.1306184
87	350.2685014
88	349.466128
89	348.7996694
90	347.9920893
91	347.417746
92	346.9115542
93	346.4792753
94	345.8182415
95	345.1680015
96	344.7389361
97	344.2292955
98	343.5652377
99	342.8783078
100	341.977153
101	341.6437164
102	341.0670091
103	340.5384182
104	339.9946154
105	339.1758895
106	338.7970358
107	338.1485718
108	337.6957162
109	337.0114671
110	336.390873
111	335.5604488
112	334.6848984
113	334.2458649
114	333.6467598
115	333.054965
116	332.112254
117	331.5635829
118	330.7117013
119	330.3291221
120	329.9827534
121	329.4671212
122	329.199036
123	328.8198277
124	328.2516833
125	328.0739636
126	327.5182675
127	327.3179783
128	327.0726808
129	326.8078043
130	326.4340058
131	325.8738422
132	325.3525408
133	324.9129486
134	324.577124
135	324.2013636
136	323.652574
137	322.9955984
138	322.4709618
139	321.8937114
140	321.4669869
141	321.2271811
142	320.8330108
143	320.0675832
144	319.7310342
145	319.0752021
146	318.7315593
147	318.1959258
148	317.8955427
149	317.1968678
150	316.8499466
151	316.1927711
152	315.7518642
153	315.3649539
154	314.602914
155	313.9624991
156	313.5640241
157	313.0808266
158	312.568761
159	311.9318659
160	311.4357056
161	311.0125585
162	310.378096
163	309.9495608
164	309.6612889
165	309.3744715
166	309.1959309
167	308.7686077
168	308.2638027
169	307.9027638
170	307.0556083
171	306.5812943
172	306.0158693
173	305.5019807
174	304.6413118
175	304.1402107
176	303.7407102
177	303.3142228
178	302.9166133
179	302.2472219
180	301.4272509
181	301.028719
182	300.6945813
183	300.2044398
